slice,roi_mae,roi_rmse,roi_psnr,roi_ssim,full_mae,full_rmse,full_psnr,full_ssim,cbct_roi_mae,roi_n
slice_0077,66.4605,145.9992,28.9070,0.7740,35.3417,107.3017,31.5819,0.8586,210.6540,33976
slice_0078,59.3509,127.8547,30.0597,0.8081,31.8043,94.7502,32.6624,0.8791,205.7709,34138
slice_0079,58.9159,121.8870,30.4749,0.8342,31.6860,90.7030,33.0416,0.8952,185.5123,34254
slice_0080,72.8801,149.6061,28.6950,0.8075,39.1555,110.5137,31.3257,0.8775,182.4637,34403
slice_0081,74.2285,133.1781,29.7054,0.7928,40.0676,99.1311,32.2698,0.8672,192.6497,34564
slice_0082,72.9176,152.3039,28.5398,0.7800,39.5478,112.9690,31.1348,0.8576,185.2424,34707
slice_0083,69.5250,134.8437,29.5974,0.7979,37.8582,100.6926,32.1341,0.8675,184.5794,34799
slice_0084,65.2073,142.5621,29.1139,0.7942,35.6574,106.3341,31.6606,0.8675,181.6527,34885
slice_0085,66.8973,134.4630,29.6220,0.8001,36.6588,100.7164,32.1320,0.8707,178.2430,34968
slice_0086,65.0555,135.6137,29.5480,0.7902,35.7685,101.6834,32.0490,0.8642,176.4199,35049
slice_0087,67.2173,142.7891,29.1001,0.7855,37.0567,107.0081,31.6057,0.8598,174.8131,35173
slice_0088,67.6514,144.1519,29.0176,0.7933,37.3583,108.0878,31.5185,0.8646,173.6524,35234
slice_0089,72.2263,150.2892,28.6555,0.7801,39.9297,112.6694,31.1579,0.8557,173.3724,35325
slice_0090,65.0340,136.0659,29.5190,0.7966,36.1585,102.6125,31.9700,0.8654,172.3367,35425
slice_0091,64.1418,133.7007,29.6714,0.8001,35.7589,101.0661,32.1019,0.8681,172.5941,35492
slice_0092,67.0536,139.4527,29.3055,0.7802,37.4729,105.4039,31.7369,0.8555,173.2421,35616
slice_0093,65.7208,141.4294,29.1832,0.7876,36.8409,107.0230,31.6045,0.8592,175.1704,35683
slice_0094,62.8337,131.4358,29.8197,0.8164,35.3547,100.0396,32.1906,0.8776,175.6817,35750
slice_0095,64.1668,135.1530,29.5775,0.8007,36.1836,102.8739,31.9479,0.8675,175.9636,35845
slice_0096,70.8300,141.3294,29.1894,0.7791,39.9144,107.4339,31.5712,0.8530,177.3071,35917
slice_0097,65.9799,139.5804,29.2975,0.7886,37.3107,106.1181,31.6782,0.8586,179.7101,35996
slice_0098,68.0714,153.4056,28.4772,0.7916,38.5009,116.1196,30.8959,0.8603,182.2841,36070
slice_0099,66.1535,143.0037,29.0871,0.7855,37.5184,108.6105,31.4766,0.8566,185.3551,36167
slice_0100,59.6348,127.1052,30.1108,0.8208,33.9608,97.1164,32.4482,0.8794,187.6975,36234
slice_0101,65.1303,140.8923,29.2163,0.7975,37.0651,107.1791,31.5918,0.8649,187.3591,36329
slice_0102,72.2319,146.4667,28.8792,0.7790,41.0921,111.3330,31.2615,0.8520,186.9955,36428
slice_0103,81.5655,168.9963,27.6365,0.7438,46.3956,128.0250,30.0481,0.8294,186.4262,36523
slice_0104,89.9817,178.7479,27.1492,0.7524,51.2739,135.6090,29.5483,0.8325,185.9088,36639
